Temperature,Humidity,Wind Speed,Month
7.139,0.930,3.655,4
7.622,0.890,10.867,4
7.628,0.860,6.521,4
7.044,0.860,11.399,4
8.600,0.840,9.660,4
9.650,0.840,15.955,4
12.106,0.720,13.170,4
12.778,0.710,13.170,4
13.811,0.650,9.676,4
16.017,0.480,11.238,4
17.128,0.470,12.703,4
17.144,0.430,10.610,4
17.778,0.400,7.953,4
17.778,0.370,2.592,4
17.806,0.430,11.012,4
16.156,0.520,9.193,4
14.050,0.630,9.161,4
13.089,0.670,9.274,4
12.289,0.720,9.451,4
12.778,0.660,11.077,4
12.728,0.670,13.379,4
12.267,0.690,14.136,4
11.711,0.710,11.318,4
10.828,0.860,9.177,4
12.200,0.590,14.168,4
12.200,0.600,14.297,4
11.689,0.680,13.830,4
11.206,0.770,14.007,4
11.133,0.770,15.488,4
11.439,0.770,13.878,4
13.033,0.810,14.458,4
17.244,0.620,25.019,4
17.739,0.530,27.370,4
17.844,0.560,22.218,4
18.861,0.560,23.538,4
18.667,0.560,19.900,4
17.822,0.560,17.501,4
17.800,0.590,17.694,4
17.350,0.570,19.561,4
16.067,0.670,21.816,4
14.933,0.730,17.275,4
13.922,0.780,11.769,4
12.756,0.840,11.045,4
12.756,0.840,11.061,4
12.372,0.860,7.293,4
11.183,0.930,6.923,4
11.667,0.900,11.173,4
8.978,0.950,10.320,4
10.578,0.930,11.173,4
10.533,0.890,14.007,4
10.589,0.870,7.293,4
9.983,0.890,6.730,4
11.022,0.860,7.889,4
13.539,0.750,11.866,4
13.889,0.680,20.012,4
15.000,0.670,17.581,4
17.183,0.570,15.955,4
16.200,0.620,16.309,4
17.750,0.560,17.774,4
18.406,0.540,19.078,4
17.822,0.590,17.597,4
17.311,0.570,20.334,4
17.506,0.550,13.717,4
17.267,0.540,14.377,4
15.139,0.610,10.900,4
13.250,0.690,4.717,4
12.294,0.720,4.669,4
10.700,0.790,3.574,4
9.856,0.850,5.748,4
9.522,0.880,11.270,4
8.406,0.920,3.123,4
13.011,0.820,9.628,4
7.733,0.960,3.429,4
6.139,0.960,3.349,4
6.472,0.950,2.995,4
6.628,0.960,3.300,4
8.689,0.930,1.433,4
11.994,0.810,2.415,4
13.767,0.780,4.154,4
15.089,0.770,7.374,4
16.456,0.680,7.808,4
17.311,0.620,7.374,4
17.872,0.640,8.372,4
19.039,0.470,7.068,4
18.978,0.510,10.867,4
19.006,0.550,4.814,4
19.011,0.530,4.798,4
17.867,0.640,10.932,4
17.267,0.620,10.851,4
16.189,0.610,5.088,4
14.883,0.720,9.177,4
14.328,0.750,10.932,4
14.511,0.750,6.376,4
14.372,0.750,6.537,4
14.878,0.720,14.216,4
10.406,0.920,3.606,4
12.822,0.830,8.436,4
12.800,0.850,14.426,4
12.828,0.860,13.894,4
12.267,0.850,15.778,4
12.267,0.850,15.585,4
12.183,0.820,12.381,4
12.172,0.800,20.383,4
12.711,0.830,22.089,4
15.606,0.780,22.347,4
16.022,0.780,18.064,4
17.200,0.670,17.646,4
17.217,0.710,14.088,4
17.828,0.690,13.411,4
17.828,0.690,14.619,4
17.733,0.690,9.241,4
16.272,0.710,23.071,4
13.167,0.930,3.767,4
13.256,0.930,3.139,4
13.011,0.930,10.336,4
12.456,0.910,5.796,4
12.489,0.900,9.885,4
9.556,0.800,6.488,4
10.622,0.790,14.023,4
8.722,0.930,4.572,4
10.533,0.770,10.771,4
9.444,0.830,6.537,4
9.889,0.830,6.086,4
10.367,0.780,10.707,4
8.889,0.890,10.497,4
9.978,0.840,8.002,4
12.200,0.730,2.463,4
13.961,0.670,9.306,4
14.944,0.670,7.165,4
16.183,0.710,11.753,4
16.367,0.610,7.132,4
17.372,0.570,3.623,4
17.672,0.510,1.755,4
17.722,0.530,8.678,4
16.239,0.610,2.834,4
14.067,0.710,9.241,4
13.956,0.760,7.422,4
12.289,0.800,3.542,4
10.022,0.860,3.107,4
9.378,0.860,6.440,4
9.417,0.900,4.605,4
11.828,0.920,3.027,4
10.761,0.910,5.168,4
12.156,0.950,2.850,4
9.672,0.940,5.716,4
8.150,0.940,6.762,4
10.200,0.950,5.619,4
10.117,0.990,2.254,4
10.161,0.990,0.338,4
11.244,0.980,2.753,4
12.244,0.990,2.254,4
13.911,0.920,8.098,4
15.617,0.820,2.286,4
15.072,0.860,3.284,4
15.072,0.820,7.599,4
14.267,0.870,10.562,4
16.017,0.810,6.665,4
15.028,0.860,7.712,4
13.944,0.890,7.277,4
12.917,0.950,11.479,4
12.894,0.950,5.281,4
12.400,0.980,2.351,4
12.267,0.990,8.050,4
12.222,0.960,6.199,4
11.250,0.960,2.769,4
11.528,0.960,3.156,4
11.539,0.960,5.989,4
9.439,0.960,5.973,4
11.439,0.960,6.279,4
11.394,0.960,6.440,4
11.528,0.960,6.424,4
11.950,0.930,4.830,4
11.972,1.000,9.660,4
12.633,0.960,7.664,4
12.756,0.960,7.970,4
13.844,0.900,7.921,4
13.172,0.940,10.384,4
15.067,0.860,8.147,4
17.244,0.750,7.165,4
16.317,0.760,13.347,4
17.383,0.740,13.621,4
15.272,0.760,8.275,4
17.456,0.720,5.281,4
16.222,0.770,11.157,4
15.083,0.820,3.687,4
13.994,0.880,1.143,4
12.172,0.920,0.660,4
11.089,0.950,4.846,4
11.094,0.950,3.381,4
9.883,0.960,3.365,4
9.356,0.960,6.424,4
9.861,0.960,3.236,4
8.272,0.990,3.317,4
8.867,0.960,2.624,4
8.817,0.960,3.945,4
7.156,1.000,1.851,4
8.850,0.990,3.478,4
11.178,0.930,2.882,4
12.389,0.980,3.429,4
14.144,0.880,4.878,4
17.100,0.720,3.059,4
18.939,0.640,4.202,4
17.917,0.680,4.089,4
19.983,0.530,1.224,4
20.072,0.620,9.064,4
20.072,0.560,9.483,4
20.083,0.580,7.487,4
19.089,0.630,9.129,4
17.450,0.620,7.567,4
15.567,0.740,0.515,4
12.494,0.910,3.945,4
12.244,0.890,1.530,4
11.417,0.920,2.962,4
10.556,0.950,6.038,4
10.467,0.930,3.075,4
10.250,0.950,5.297,4
9.356,0.960,1.530,4
8.311,0.960,3.220,4
8.811,0.960,3.397,4
8.733,0.930,6.343,4
11.933,0.930,11.270,4
14.517,0.840,1.707,4
18.733,0.680,3.220,4
20.028,0.600,7.245,4
21.039,0.550,6.488,4
20.739,0.460,6.504,4
22.317,0.480,7.535,4
22.111,0.500,6.456,4
22.733,0.380,1.014,4
22.778,0.370,5.184,4
21.217,0.410,7.277,4
20.183,0.450,1.481,4
18.011,0.680,0.322,4
17.422,0.650,0.531,4
13.961,0.820,0.000,4
13.289,0.890,2.882,4
12.322,0.890,2.479,4
11.117,0.950,3.172,4
10.533,0.950,11.270,4
12.383,0.800,4.621,4
9.861,0.960,3.075,4
8.872,0.950,1.530,4
8.672,0.940,3.639,4
7.689,1.000,0.000,4
10.911,0.990,1.610,4
14.839,0.820,2.656,4
18.800,0.650,1.530,4
21.094,0.490,4.878,4
22.028,0.490,4.283,4
22.828,0.470,3.623,4
22.917,0.370,4.556,4
23.917,0.370,6.295,4
23.911,0.400,2.560,4
23.933,0.370,4.347,4
23.917,0.320,1.175,4
22.822,0.440,3.123,4
21.228,0.480,0.403,4
19.078,0.510,2.689,4
17.061,0.630,1.578,4
14.906,0.720,3.751,4
13.083,0.870,3.413,4
12.711,0.890,3.252,4
12.128,0.890,3.172,4
11.811,0.840,4.991,4
12.017,0.800,6.263,4
12.044,0.800,6.424,4
10.628,0.860,9.708,4
9.911,0.990,9.145,4
12.556,0.900,7.744,4
15.006,0.780,8.758,4
17.339,0.740,12.188,4
19.100,0.670,12.622,4
21.261,0.570,9.918,4
22.411,0.540,11.447,4
22.939,0.500,8.549,4
23.928,0.470,11.302,4
23.961,0.470,8.308,4
23.961,0.380,8.581,4
23.111,0.420,10.707,4
22.822,0.440,12.494,4
21.111,0.470,5.216,4
18.189,0.580,4.862,4
16.017,0.720,4.605,4
15.467,0.720,6.440,4
14.606,0.760,6.746,4
13.311,0.820,3.542,4
12.733,0.830,3.075,4
13.789,0.770,6.086,4
10.578,0.880,6.440,4
10.483,0.920,3.220,4
10.289,0.910,3.751,4
9.972,0.920,1.562,4
13.639,0.900,2.705,4
16.739,0.740,7.245,4
18.839,0.650,3.413,4
21.161,0.590,4.605,4
22.589,0.530,4.428,4
22.894,0.480,7.664,4
24.006,0.470,9.660,4
24.006,0.350,8.002,4
23.978,0.440,9.290,4
25.044,0.320,3.590,4
24.078,0.350,4.959,4
22.383,0.450,9.483,4
21.206,0.520,3.687,4
18.261,0.620,6.215,4
17.200,0.670,14.490,4
15.994,0.750,3.107,4
15.961,0.790,12.284,4
15.444,0.720,13.846,4
14.372,0.750,10.996,4
13.606,0.900,9.982,4
12.822,0.820,6.247,4
12.750,0.830,3.349,4
11.417,0.920,6.231,4
12.333,0.860,2.463,4
14.906,0.780,10.288,4
15.894,0.740,10.288,4
17.228,0.720,12.059,4
17.828,0.730,7.470,4
17.917,0.720,10.095,4
19.056,0.670,9.097,4
20.144,0.670,7.519,4
20.261,0.620,3.896,4
21.206,0.620,4.637,4
21.256,0.670,4.894,4
20.233,0.660,7.213,4
19.078,0.710,7.648,4
17.944,0.770,10.578,4
15.494,0.820,20.608,4
14.144,0.890,8.436,4
14.539,0.860,11.077,4
14.139,0.860,3.671,4
13.400,0.900,3.510,4
13.428,0.900,3.349,4
11.589,0.740,5.474,4
14.422,0.830,10.771,4
13.917,0.860,10.690,4
13.400,0.900,10.320,4
13.867,0.900,7.937,4
14.906,0.840,11.270,4
15.933,0.740,10.674,4
17.128,0.650,19.900,4
18.750,0.580,19.417,4
18.961,0.600,17.050,4
19.994,0.540,16.873,4
21.111,0.500,17.340,4
21.094,0.460,21.960,4
21.178,0.430,19.819,4
21.228,0.410,16.470,4
20.100,0.450,13.798,4
19.028,0.510,9.789,4
17.850,0.590,14.055,4
16.261,0.660,11.286,4
14.983,0.720,13.943,4
14.467,0.650,11.028,4
13.944,0.600,10.803,4
12.317,0.650,11.173,4
11.761,0.660,10.900,4
10.828,0.620,13.186,4
10.139,0.730,10.948,4
10.628,0.710,11.109,4
10.606,0.690,13.524,4
10.072,0.710,15.585,4
11.161,0.710,21.526,4
12.889,0.670,22.959,4
15.050,0.600,26.485,4
15.161,0.590,26.726,4
16.272,0.560,23.361,4
17.800,0.460,28.062,4
17.939,0.460,27.901,4
18.856,0.410,25.744,4
17.989,0.430,26.356,4
17.961,0.510,25.052,4
17.361,0.470,25.567,4
16.250,0.520,23.329,4
14.122,0.470,20.028,4
12.950,0.550,14.957,4
12.244,0.520,22.943,4
11.689,0.570,19.658,4
11.156,0.590,20.737,4
9.217,0.900,5.844,4
8.683,0.900,5.249,4
9.189,0.770,12.316,4
8.594,0.930,6.295,4
7.506,0.930,1.851,4
6.217,0.950,9.676,4
5.856,0.930,0.435,4
5.933,1.000,0.145,4
10.406,1.000,0.725,4
12.544,0.780,7.261,4
13.861,0.770,3.880,4
15.978,0.630,4.669,4
17.267,0.570,5.474,4
17.844,0.500,2.673,4
16.428,0.540,3.993,4
17.778,0.460,1.674,4
17.844,0.450,4.428,4
17.300,0.500,5.667,4
15.183,0.650,12.735,4
13.006,0.700,3.719,4
12.694,0.740,7.937,4
12.194,0.720,9.708,4
12.083,0.710,16.986,4
10.617,0.740,10.851,4
11.600,0.570,16.986,4
11.022,0.600,16.921,4
11.889,0.600,15.939,4
10.417,0.640,16.647,4
10.300,0.670,13.395,4
9.483,0.720,13.379,4
9.772,0.680,12.832,4
10.933,0.670,11.141,4
11.656,0.660,7.181,4
13.939,0.550,21.558,4
15.028,0.540,17.308,4
16.039,0.470,24.520,4
15.228,0.510,20.366,4
16.206,0.440,14.442,4
17.300,0.430,18.016,4
17.778,0.430,15.826,4
17.800,0.380,17.243,4
17.261,0.390,16.873,4
17.200,0.380,15.311,4
15.022,0.450,20.914,4
13.928,0.470,13.347,4
12.367,0.570,9.435,4
12.294,0.590,6.778,4
12.789,0.560,14.409,4
9.533,0.760,7.084,4
9.972,0.710,14.426,4
4.911,0.910,1.014,4
7.917,0.780,11.672,4
7.383,0.820,14.619,4
7.972,0.820,11.850,4
8.817,0.840,14.490,4
8.794,0.840,23.329,4
7.889,0.890,26.839,4
7.800,0.960,22.782,4
7.822,0.950,14.216,4
7.944,0.950,9.773,4
8.078,0.940,15.778,4
10.228,0.810,11.318,4
11.361,0.740,4.202,4
12.450,0.700,1.304,4
12.917,0.670,3.687,4
12.550,0.620,6.408,4
12.383,0.690,9.805,4
10.228,0.750,8.404,4
9.228,0.780,9.515,4
7.828,0.870,7.374,4
6.678,0.910,5.796,4
6.122,0.910,6.279,4
5.328,0.950,5.893,4
4.356,0.950,10.916,4
9.272,0.890,3.639,4
4.261,0.920,6.070,4
3.217,0.920,6.070,4
3.906,0.920,5.893,4
2.711,0.960,7.970,4
3.817,1.000,5.281,4
6.883,0.930,9.113,4
8.939,0.880,15.681,4
11.206,0.790,20.705,4
12.850,0.700,20.157,4
13.961,0.630,23.973,4
14.978,0.510,23.957,4
14.028,0.570,22.685,4
15.022,0.510,26.774,4
15.044,0.540,20.882,4
15.089,0.500,17.195,4
14.950,0.510,14.120,4
13.817,0.590,11.125,4
12.917,0.640,11.689,4
13.839,0.590,14.232,4
12.756,0.690,6.263,4
12.650,0.740,18.129,4
11.689,0.800,11.318,4
10.628,0.880,6.553,4
5.667,0.910,8.726,4
10.050,0.920,6.617,4
9.978,0.930,2.592,4
9.778,0.950,5.458,4
8.661,0.990,4.733,4
7.550,0.950,20.350,4
7.233,0.930,13.846,4
6.044,0.920,23.619,4
6.094,0.850,22.089,4
6.117,0.820,22.170,4
6.067,0.860,17.758,4
6.039,0.930,17.452,4
6.889,0.930,22.459,4
7.061,0.860,16.116,4
6.039,0.930,20.463,4
6.072,0.930,21.139,4
5.044,0.930,20.689,4
5.022,0.920,14.023,4
5.033,0.930,14.941,4
5.000,0.930,11.125,4
4.978,0.930,14.120,4
4.933,0.870,15.939,4
4.467,0.920,13.975,4
4.444,0.920,14.329,4
4.011,0.830,12.155,4
4.906,0.860,13.798,4
4.883,0.830,10.884,4
4.389,0.890,13.395,4
4.839,0.860,16.889,4
4.811,0.830,15.343,4
4.944,0.840,18.177,4
7.200,0.650,17.372,4
7.778,0.670,16.261,4
8.728,0.640,12.912,4
8.983,0.570,20.495,4
10.000,0.500,23.216,4
10.094,0.550,19.288,4
11.061,0.460,14.265,4
10.139,0.420,12.558,4
11.011,0.420,9.354,4
10.117,0.490,7.664,4
7.917,0.570,4.460,4
7.333,0.630,2.624,4
5.050,0.750,3.059,4
3.933,0.760,6.263,4
4.094,0.770,6.343,4
3.800,0.820,6.215,4
2.689,0.850,10.288,4
5.067,0.810,5.635,4
2.600,0.850,6.054,4
1.583,0.920,5.925,4
2.156,0.900,3.236,4
0.956,0.920,1.594,4
0.956,0.920,4.572,4
5.594,0.820,0.225,4
9.822,0.660,14.490,4
11.072,0.540,1.674,4
11.056,0.480,6.939,4
12.244,0.430,7.132,4
12.850,0.410,9.161,4
12.889,0.380,9.579,4
12.917,0.400,9.483,4
13.889,0.460,10.384,4
13.022,0.480,12.204,4
12.383,0.490,12.445,4
10.206,0.570,9.837,4
9.144,0.620,7.648,4
7.828,0.680,9.741,4
7.733,0.650,6.746,4
7.144,0.690,6.215,4
6.017,0.740,6.408,4
5.461,0.760,6.601,4
8.244,0.720,13.379,4
3.839,0.820,6.633,4
2.244,0.910,3.478,4
2.022,0.930,6.231,4
2.172,0.920,10.707,4
3.661,0.890,10.723,4
6.111,0.790,11.898,4
10.006,0.660,11.479,4
12.244,0.520,17.807,4
12.939,0.500,19.626,4
13.983,0.500,20.624,4
15.094,0.440,16.084,4
16.250,0.430,14.780,4
17.267,0.410,16.100,4
17.289,0.380,16.229,4
17.389,0.370,14.136,4
17.289,0.380,14.490,4
15.089,0.440,9.708,4
11.711,0.580,10.384,4
11.161,0.610,10.932,4
10.028,0.680,11.173,4
10.139,0.650,13.621,4
21.017,0.870,3.220,7
19.444,0.900,6.038,7
20.722,0.810,9.225,8
18.794,0.930,5.925,8
17.733,0.930,3.123,8
17.606,0.950,2.930,8
18.733,0.930,7.841,8
22.556,0.800,1.610,8
24.761,0.700,3.172,8
27.172,0.560,1.739,8
28.911,0.550,2.946,8
30.956,0.420,2.753,8
32.172,0.380,7.728,8
32.128,0.320,7.342,8
31.983,0.350,7.165,8
32.539,0.380,12.622,8
31.978,0.400,12.091,8
32.011,0.410,8.919,8
30.944,0.390,13.411,8
28.572,0.500,7.970,8
27.094,0.590,6.231,8
24.694,0.650,4.428,8
24.139,0.700,12.848,8
23.122,0.770,11.850,8
15.561,0.920,3.333,8
15.494,0.870,3.365,8
16.539,0.910,3.623,8
13.800,0.900,3.204,8
13.317,0.900,3.123,8
12.606,0.920,3.606,8
12.328,0.930,3.091,8
14.967,0.870,4.508,8
16.261,0.870,8.614,8
16.250,0.920,9.306,8
18.889,0.890,10.642,8
21.350,0.760,14.039,8
21.206,0.760,13.943,8
22.339,0.720,10.819,8
23.033,0.660,10.207,8
23.911,0.620,9.402,8
24.978,0.510,7.664,8
23.800,0.580,9.048,8
23.594,0.530,7.599,8
22.506,0.680,11.270,8
20.017,0.780,12.268,8
19.911,0.740,16.197,8
19.356,0.760,13.266,8
17.883,0.850,12.687,8
17.250,0.890,10.529,8
16.628,0.920,6.376,8
15.844,0.840,3.526,8
17.000,0.920,2.656,8
17.067,0.860,6.633,8
16.506,0.790,6.987,8
14.983,0.830,9.451,8
16.022,0.810,12.381,8
16.161,0.810,15.875,8
18.844,0.680,22.105,8
21.117,0.680,20.206,8
22.506,0.620,15.150,8
23.794,0.540,17.243,8
23.889,0.510,15.585,8
25.833,0.440,16.422,8
25.928,0.430,21.687,8
25.000,0.420,20.077,8
24.944,0.430,18.660,8
24.928,0.450,16.986,8
22.800,0.510,12.397,8
19.339,0.700,7.325,8
17.806,0.780,4.782,8
17.783,0.750,3.462,8
16.489,0.790,6.343,8
15.694,0.830,6.504,8
15.628,0.810,3.365,8
16.211,0.930,4.218,8
15.578,0.840,6.295,8
15.578,0.810,3.317,8
15.606,0.810,3.719,8
15.050,0.830,7.792,8
17.067,0.730,9.322,8
17.483,0.720,7.422,8
17.667,0.710,8.775,8
18.800,0.690,8.758,8
19.683,0.670,8.742,8
18.822,0.780,10.626,8
20.000,0.770,4.750,8
21.150,0.720,7.792,8
23.656,0.670,11.012,8
23.617,0.600,15.214,8
23.817,0.620,10.642,8
22.039,0.700,25.003,8
19.950,0.700,16.164,8
18.922,0.800,8.324,8
17.267,0.880,7.808,8
16.178,0.900,5.957,8
15.833,0.930,6.343,8
16.733,0.930,6.005,8
16.711,0.970,13.105,8
16.267,0.970,5.474,8
16.139,0.970,11.045,8
16.089,0.970,3.091,8
15.556,0.960,2.769,8
14.517,1.000,3.027,8
17.089,0.990,10.819,8
17.667,0.960,9.596,8
19.794,0.850,10.513,8
22.017,0.740,10.771,8
21.139,0.730,9.467,8
21.044,0.730,15.102,8
18.939,0.890,13.524,8
18.917,0.900,3.381,8
20.050,0.780,4.733,8
21.067,0.730,9.064,8
20.050,0.780,0.370,8
20.000,0.830,0.064,8
18.867,0.900,0.032,8
17.956,0.960,3.784,8
17.711,0.970,12.220,8
17.733,0.930,10.610,8
16.794,0.970,5.394,8
16.667,0.970,6.182,8
16.161,0.970,6.295,8
17.011,0.910,5.410,8
16.117,0.970,2.866,8
16.117,0.970,2.850,8
15.556,0.960,5.812,8
14.006,1.000,3.075,8
16.117,0.930,9.354,8
16.050,0.930,9.064,8
16.211,0.990,7.583,8
17.806,0.890,7.728,8
18.883,0.840,5.232,8
20.189,0.770,7.873,8
22.267,0.670,11.061,8
22.356,0.700,12.977,8
23.867,0.540,10.867,8
23.889,0.580,9.531,8
22.956,0.560,11.801,8
22.478,0.580,10.819,8
20.856,0.700,4.589,8
19.161,0.820,0.773,8
17.733,0.840,9.113,8
18.239,0.810,6.247,8
17.817,0.880,1.626,8
17.711,0.840,12.944,8
17.200,0.900,3.091,8
15.306,0.900,2.624,8
16.550,0.930,3.252,8
16.094,0.960,6.005,8
15.550,0.930,2.463,8
14.933,0.930,4.733,8
17.089,0.930,7.905,8
18.656,0.850,7.374,8
19.811,0.790,11.077,8
21.061,0.730,7.792,8
22.206,0.630,11.173,8
22.750,0.570,12.558,8
23.794,0.540,13.604,8
23.483,0.510,10.835,8
23.961,0.530,10.787,8
24.950,0.500,10.803,8
23.956,0.530,12.300,8
23.956,0.500,12.284,8
23.861,0.540,3.091,8
19.267,0.750,0.547,8
17.289,0.870,3.107,8
16.622,0.930,3.139,8
16.672,0.870,3.300,8
15.072,0.930,2.286,8
14.517,0.930,3.027,8
17.844,0.800,12.333,8
14.444,0.930,3.156,8
13.889,0.960,3.123,8
14.433,0.900,5.603,8
14.928,0.870,4.621,8
17.044,0.820,9.000,8
18.789,0.780,8.694,8
21.161,0.730,12.300,8
23.867,0.620,12.703,8
24.967,0.560,15.359,8
26.133,0.470,14.442,8
27.222,0.440,15.891,8
27.739,0.390,14.635,8
27.778,0.400,15.923,8
27.800,0.390,15.778,8
27.872,0.370,13.572,8
26.156,0.430,10.723,8
23.978,0.540,7.986,8
22.572,0.580,10.642,8
21.139,0.600,10.900,8
20.439,0.670,10.932,8
20.428,0.700,10.336,8
19.356,0.740,11.012,8
18.750,0.760,10.835,8
19.878,0.850,10.143,8
17.222,0.840,13.927,8
16.644,0.870,14.345,8
16.550,0.880,10.014,8
16.094,0.870,9.483,8
17.667,0.840,10.996,8
20.783,0.700,14.812,8
22.733,0.670,15.472,8
26.017,0.550,16.857,8
26.128,0.580,13.283,8
28.839,0.510,9.660,8
29.006,0.510,10.803,8
31.033,0.450,7.648,8
31.133,0.360,11.173,8
31.133,0.410,11.270,8
31.211,0.410,10.771,8
30.022,0.480,11.077,8
27.872,0.580,9.177,8
25.406,0.660,7.970,8
22.756,0.790,4.621,8
22.689,0.790,6.585,8
21.200,0.840,6.504,8
21.550,0.810,6.392,8
21.439,0.820,10.835,8
19.506,0.920,2.898,8
19.861,0.880,13.492,8
19.333,0.870,10.948,8
18.750,0.910,10.159,8
18.844,0.900,7.986,8
19.911,0.870,10.996,8
22.106,0.810,14.490,8
24.950,0.690,16.020,8
25.000,0.740,11.157,8
27.300,0.670,13.782,8
27.967,0.620,16.003,8
30.117,0.500,17.388,8
31.044,0.450,23.667,8
31.206,0.470,17.517,8
32.172,0.420,16.293,8
32.544,0.400,12.381,8
31.039,0.440,10.159,8
28.956,0.540,8.372,8
26.478,0.640,7.744,8
22.917,0.730,8.050,8
23.383,0.730,6.730,8
22.450,0.830,3.510,8
22.600,0.770,6.054,8
19.983,0.900,3.558,8
20.956,0.870,3.075,8
18.872,0.900,3.703,8
18.339,0.930,6.408,8
18.850,0.930,5.603,8
17.278,0.990,4.798,8
19.917,0.870,4.959,8
23.600,0.740,7.921,8
25.994,0.610,10.932,8
27.733,0.550,12.703,8
28.794,0.500,15.907,8
29.883,0.470,20.254,8
30.972,0.450,17.227,8
31.917,0.410,11.254,8
32.128,0.420,15.440,8
32.128,0.390,17.324,8
31.083,0.440,17.163,8
31.017,0.440,12.381,8
27.267,0.640,10.803,8
25.456,0.680,0.886,8
22.800,0.840,4.621,8
23.217,0.790,6.182,8
22.239,0.850,2.785,8
20.417,0.840,23.860,8
19.883,0.850,10.368,8
16.811,0.920,6.569,8
19.378,0.900,10.191,8
18.867,0.930,4.910,8
18.883,0.930,5.812,8
17.872,0.970,5.120,8
18.939,0.990,4.878,8
20.089,0.920,9.773,8
21.089,0.870,12.333,8
22.178,0.810,12.800,8
23.533,0.710,16.181,8
23.844,0.690,14.265,8
